,url,product_name,product_price
43,https://www.vandenborre.be/fr/housse-tablette-apple/apple-s-folio-ipad-pro-11-black,APPLE S.FOLIO IPAD PRO 11 BLACK,"€ 99,00"
44,https://www.vandenborre.be/fr/housse-tablette-apple/apple-smartfolio-ipad-10-lemon,APPLE SMARTFOLIO IPAD 10 LEMON,"€ 99,00"
45,https://www.vandenborre.be/fr/housse-tablette-apple/apple-smartfolio-ipad-10-sky,APPLE SMARTFOLIO IPAD 10 SKY,"€ 99,00"
46,https://www.vandenborre.be/fr/housse-tablette-apple/apple-smartfolio-ipad-10-waterm,APPLE SMARTFOLIO IPAD 10 WATERM,"€ 99,00"
47,https://www.vandenborre.be/fr/housse-tablette-apple/apple-smartfolio-ipad-10-white,APPLE SMARTFOLIO IPAD 10 WHITE,"€ 99,00"
48,https://www.vandenborre.be/fr/smartphone/nokia-c02-32gb-charcoal,NOKIA C02 32GB CHARCOAL,"€ 79,95"
49,https://www.vandenborre.be/fr/smartphone/nokia-c12-64gb-charcoal,NOKIA C12 64GB CHARCOAL,"€ 99,00"
50,https://www.vandenborre.be/fr/smartphone/xiaomi-redmi-a1-green-32gb,XIAOMI REDMI A1 GREEN 32GB,"€ 99,95"
51,https://www.vandenborre.be/fr/smartphone/xiaomi-redmi-a2-32-gb-black,XIAOMI REDMI A2 32 GB BLACK,"€ 99,95"
52,https://www.vandenborre.be/fr/smartphone/motorola-moto-e13-cosmic-black,MOTOROLA MOTO E13 COSMIC BLACK,"€ 119,00"
53,https://www.vandenborre.be/fr/smartphone/motorola-moto-g13-matte-charcoal,MOTOROLA MOTO G13 MATTE CHARCOAL,"€ 139,00"
54,https://www.vandenborre.be/fr/smartphone/nokia-c32-64gb-charcoal-tws122,NOKIA C32 64GB CHARCOAL+TWS122,"€ 149,00"
55,https://www.vandenborre.be/fr/smartphone/xiaomi-redmi-12c-64gb-graphite-grey,XIAOMI REDMI 12C 64GB GRAPHITE GREY,"€ 149,00"
56,https://www.vandenborre.be/fr/smartphone/nokia-g22-128gb-grey,NOKIA G22 128GB GREY,"€ 169,00"
57,https://www.vandenborre.be/fr/smartphone/samsung-galaxy-a14-lte-64gb-black,SAMSUNG GALAXY A14 LTE 64GB BLACK,"€ 169,00"
58,https://www.vandenborre.be/fr/smartphone/xiaomi-redmi-12-128gb-midnight-black,XIAOMI REDMI 12 128GB MIDNIGHT BLACK,"€ 169,00"
59,https://www.vandenborre.be/fr/smartphone/xiaomi-redmi-12-128gb-sky-blue,XIAOMI REDMI 12 128GB SKY BLUE,"€ 169,00"
60,https://www.vandenborre.be/fr/smartphone/samsung-galaxy-a14-lte-64gb-silver,SAMSUNG GALAXY A14 LTE 64GB SILVER,"€ 171,99"
61,https://www.vandenborre.be/fr/smartphone/oppo-a17-64gb-black,OPPO A17 64GB BLACK,"€ 179,00"
62,https://www.vandenborre.be/fr/smartphone/samsung-galaxy-a14-lte-64gb-pxm,SAMSUNG Galaxy A14 LTE 64GB PXM,"€ 179,99"
